file,line,hex,role,old,replacement,in_build,context
lib/core/config/router.dart,28,0xFF0A0A0F,bg,const Color(0xFF0A0A0F),context.xBg,True,"backgroundColor: const Color(0xFF0A0A0F),"
lib/core/services/translation_service.dart,143,0xFF1E1E2E,card,const Color(0xFF1E1E2E),context.xCard,True,"color: const Color(0xFF1E1E2E),"
lib/core/services/translation_service.dart,178,0xFF0D1520,surface(dark-navy),const Color(0xFF0D1520),context.xSurface,True,"color: const Color(0xFF0D1520),"
lib/core/services/translation_service.dart,202,0xFF0D1520,surface(dark-navy),const Color(0xFF0D1520),context.xSurface,True,"fillColor: const Color(0xFF0D1520),"
lib/core/services/translation_service.dart,228,0xFF00B0A0,accent(teal),const Color(0xFF00B0A0),context.xAccent,True,? const Color(0xFF00B0A0).withValues(alpha: 0.1)
lib/core/services/translation_service.dart,234,0xFF00B0A0,accent(teal),const Color(0xFF00B0A0),context.xAccent,True,"? const Color(0xFF00B0A0) : Colors.white70,"
lib/core/services/translation_service.dart,242,0xFF00B0A0,accent(teal),const Color(0xFF00B0A0),context.xAccent,True,"? const Color(0xFF00B0A0) : Colors.white24,"
lib/core/services/translation_service.dart,248,0xFF00D4FF,primary,const Color(0xFF00D4FF),context.xPrimary,True,"color: const Color(0xFF00D4FF), size: 16)),"
lib/core/services/translation_service.dart,261,0xFF00D4FF,primary,const Color(0xFF00D4FF),context.xPrimary,True,"color: const Color(0xFF00D4FF), strokeWidth: 2),"
lib/core/services/translation_service.dart,269,0xFF00B0A0,accent(teal),const Color(0xFF00B0A0),context.xAccent,True,"color: const Color(0xFF00B0A0).withValues(alpha: 0.1),"
lib/core/services/translation_service.dart,272,0xFF00B0A0,accent(teal),const Color(0xFF00B0A0),context.xAccent,True,"color: const Color(0xFF00B0A0).withValues(alpha: 0.3)),"
lib/core/services/translation_service.dart,281,0xFF00D4FF,primary,const Color(0xFF00D4FF),context.xPrimary,True,"style: const TextStyle(color: const Color(0xFF00D4FF),"
lib/core/services/translation_service.dart,290,0xFF00B0A0,accent(teal),const Color(0xFF00B0A0),context.xAccent,True,"backgroundColor: const Color(0xFF00B0A0),"
lib/core/services/translation_service.dart,300,0xFF00D4FF,primary,const Color(0xFF00D4FF),context.xPrimary,True,"color: const Color(0xFF00D4FF), size: 14),"
lib/core/services/translation_service.dart,303,0xFF00D4FF,primary,const Color(0xFF00D4FF),context.xPrimary,True,"color: const Color(0xFF00D4FF), fontSize: 12,"
lib/features/auth/screens/login_screen.dart,67,0xFF1E1E2E,card,const Color(0xFF1E1E2E),XameColors.darkCard,False,"backgroundColor: const Color(0xFF1E1E2E),"
